,name,rating,review
0,Jalsa,4,A beautiful place to dine inThe interiors take you back to the Mughal era The lightings are just perfectWe went there on the occasion of Christmas and so they had only limited items available But the taste and service was not compromised at allThe only complaint is that the breads could have been betterWould surely like to come here again
1,Jalsa,4,"I was here for dinner with my family on a weekday The restaurant was completely empty Ambience is good with some good old hindi music Seating arrangement are good too We ordered masala papad panner and baby corn starters lemon and corrionder soup butter roti olive and chilli paratha Food was fresh and good service is good too Good for family hangout
Cheers"
2,Jalsa,2,Its a restaurant near to Banashankari BDA Me along with few of my office friends visited to have buffet but unfortunately they only provide veg buffet On inquiring they said this place is mostly visited by vegetarians Anyways we ordered ala carte items which took ages to come Food was ok ok Definitely not visiting anymore
3,Jalsa,4,We went here on a weekend and one of us had the buffet while two of us took Ala Carte Firstly the ambience and service of this place is great The buffet had a lot of items and the good was good We had a Pumpkin Halwa intm the dessert which was amazing Must try The kulchas are great here Cheers
4,Jalsa,5,"The best thing about the place is its ambiance Second best thing was yummy  food We try buffet and buffet food was not disappointed us
Test      
Quality  
Service Staff was very professional and friendly

Overall experience was excellent

subirmajumder85wixsitecom"
5,Jalsa,5,"Great food and pleasant ambience Expensive but Coll place to chill and relax

Service is really very very good and friendly staff

Food  55
Service  55
Ambience 55
Overall 55"
6,Jalsa,4,"Good ambience with tasty food
Cheese chilli paratha with Bhutta palak methi curry is a good combo
Lemon Chicken in the starters is a must try item
Egg fried rice was also quite tasty
In the mocktails recommend Alice in Junoon Do not miss it"
7,Jalsa,4,You cant go wrong with Jalsa Never been a fan of their buffet and thus always order alacarte Service at times can be on the slower side but food is worth the wait
8,Jalsa,5,Overdelighted by the service and food provided at this place A royal and ethnic atmosphere builds a strong essence of being in India and also the quality and taste of food is truly authentic I would totally recommend to visit this place once
9,Jalsa,4,"The place is nice and comfortable Food wise all jalea outlets maintain a good standard The soya chaap was a standout dish Clearly one of trademark dish as per me and a must try

The only concern is the parking It very congested and limited to just 5cars The basement parking is very steep and makes it cumbersome"
10,Jalsa,4,"The place is nice and comfortable Food wise all jalea outlets maintain a good standard The soya chaap was a standout dish Clearly one of trademark dish as per me and a must try

The only concern is the parking It very congested and limited to just 5cars The basement parking is very steep and makes it cumbersome"
11,Jalsa,4,"The place is nice and comfortable Food wise all jalea outlets maintain a good standard The soya chaap was a standout dish Clearly one of trademark dish as per me and a must try

The only concern is the parking It very congested and limited to just 5cars The basement parking is very steep and makes it cumbersome"
12,Spice Elephant,4,Had been here for dinner with family Turned out to be a good choose suitable for all ages of people Can try this place We liked the most was their starters Service is good Prices are affordable Will recommend this restaurant for early dinner The place is little noisy
13,Spice Elephant,3,The ambience is really nice staff is courteous The price is pretty high for the quantity but overall the experience was fine The quality of food is nice but nothing extraordinary They also have buffetonly veg
14,Spice Elephant,3,I felt good is little expensive for the quantity they serve and In terms of taste is decent There is nothing much to talk about the ambience regular casual dining restaurant where you can take your family for dinner or lunch If they improve on that quantity or may be reduce the price a bit or may be improve the presentation of the food it might Manage to get more repeat customers
15,Spice Elephant,4,"I was looking for a quite place to spend some time with family and as well wanted to try some new place Since I was at Banashankari I thought of trying this place The place had good rating and was part of Zomato gold So I decided to try this place It was a delite to see a very friendly staff and food we ordered was very tasty as well

Food  45
Ambience 35
Friendly staff  45
Pocket friendly  45

Will definitely visit again "
